Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/ Murder and nonnegligent manslaughter
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Edison Twp Police Dept,NJ,           0,           1,           2,           1,           0,           2,           2,           1,           2,           1,           1,           1,           1,           0,           0,           2,           0,           0,           1,           2,           0,           1,           0,           1,           1,           2,           2,           0, 
Elizabeth Police Dept,NJ,          11,          15,          10,          12,          15,          11,          11,          13,          17,          11,          18,          13,           7,           8,           9,          11,           5,          13,          14,          10,          17,          17,          16,          13,           5,          13,          17,          14, 
Jersey City Police Dept,NJ,          32,          19,          19,          23,          36,          28,          22,          25,          20,          37,          25,          26,          26,          18,          15,          17,          25,          21,          24,          23,          38,          22,          20,          25,          28,          26,          18,          11, 
Newark Police Dept,NJ,         117,         113,          81,         115,         107,         112,          88,          87,          96,          96,         102,          92,          57,          60,          69,          58,          90,          65,          81,          84,          97,         105,         104,          67,          80,          90,          94,          96, 
Paterson Police Dept,NJ,          29,          20,          17,          17,          14,          13,          19,          16,          23,          15,          12,           7,          14,          17,          13,          17,          16,          15,          20,          10,          20,          15,          14,          17,          15,          17,          17,          21, 
Woodbridge Police Dept,NJ,           1,           2,           1,           2,           1,           3,           0,           0,           3,           2,           2,           1,           0,           3,           1,           1,           0,           3,           4,           4,           2,           0,           1,           1,           1,           1,           1,           0, 
Albuquerque Police Dept,NM,          42,          49,          48,          49,          41,          34,          51,          42,          50,          45,          53,          70,          49,          37,          48,          33,          34,          51,          51,          41,          53,          34,          47,          38,          56,          42,          35,          41, 
Bernalillo County Sheriff Department,NM,          10,          16,          18,,,,,,,,,,           6,          16,,          17,           5,          10,           9,          12,          11,          13,           7,          10,           6,           7,           4,           7, 
Amherst Town Police Dept,NY,           1,           0,           0,           0,           1,           1,           1,           6,           1,           1,           1,           0,           0,           2,           0,           0,           0,           0,           1,           0,           1,           2,           2,           0,           1,           2,           0,           0, 
Buffalo Police Dept,NY,          31,          35,          35,          43,          37,          37,          50,          76,          76,          90,          62,          56,          46,          39,          32,          39,          64,          43,          65,          51,          56,          74,          54,          37,          60,          55,          36,          48, 
Dutchess County Sheriff Office,NY,           1,           0,           2,           0,           0,           1,           1,           2,           0,           0,           0,           1,           0,           1,           1,           1,           1,           0,           1,           0,           1,           0,           1,           0,           0,           3,           0,           0, 
Erie County Sheriff Office,NY,           0,,,           0,           3,           0,           0,           0,           2,           2,           1,           1,           1,           3,,,,           0,           1,           1,           0,           2,           0,           1,           0,           1,           0,           1, 
Monroe County Sheriff Office,NY,           3,           3,           1,           4,           2,           4,           1,           3,           0,           3,,           1,           3,           1,           3,           2,           1,           0,           4,           4,           2,           1,           1,           3,           1,           1,           3,           2, 
Nassau County Police Dep,NY,          18,          19,          22,          21,          26,          21,          27,          18,          18,          13,          17,           8,          12,,,,,          16,          13,          10,          16,          14,          14,          14,          18,          15,           7,          12, 
New York City Police Dept,NY,       1384,       1582,       1672,       1896,       1905,       2245,       2154,       1995,       1946,       1561,       1177,         983,         770,         633,         664,         673,         714,         587,         597,         570,         539,         596,         496,         523,         471,         536,         515,         419, 
Onondaga County Sheriff Department,NY,           1,           2,,,           1,           0,           2,           0,           2,           1,           0,           1,           3,           1,           0,           1,,           1,           3,           2,           0,           2,           3,           1,           1,           1,           2,           1, 
Rochester Police Dept,NY,          26,          38,          29,          36,          36,          40,          64,          49,          64,          62,          50,          51,          53,          46,          27,          39,          40,          42,          58,          36,          53,          49,          50,          42,          28,          41,          31,          36, 
Saratoga County Sheriff Department,NY,           1,           1,           2,           1,           2,           1,           0,           1,           2,           3,           0,           0,           2,           0,           0,           1,           0,           1,           1,           1,           1,           1,           0,           0,           0,           0,           1,           1, 
Suffolk County Police Department,NY,,,,,,,,,,,,,,,,,,,          31,          28,          28,          37,          28,          39,          32,          50,          32,          23, 
Syracuse Police Dept,NY,          12,           9,          14,          16,          13,          14,          13,          13,          18,          16,          18,          15,          15,          12,           9,          18,          15,          23,          17,          16,          19,          12,          19,          24,          18,          15,          11,          14, 
Yonkers Police Dept,NY,          21,          13,          13,           9,          11,          18,           9,          13,          19,          14,           9,          14,          16,          10,           4,          16,           6,          13,          13,          15,           9,           8,          10,           9,           8,           9,           7,           4, 
Buncombe County Sheriff Department,NC,           3,           7,           3,           2,           2,           4,           5,           3,           6,           4,           3,           7,           3,           3,           2,           2,           0,           6,,,           4,           1,           6,           5,           5,           3,           3,           4, 
Cary Police Dept,NC,           0,           0,           0,           1,           0,           0,           0,           0,           0,           3,           2,           0,           0,           0,           0,           0,           1,           0,           0,           1,           0,           0,           1,           3,           0,           1,           1,           0, 
Charlotte-Mecklenburg Police Department,NC,,,,,,,,,,,,,,,,,,,,,,,,,          58,          61,          56,          52, 
Davidson County Sheriff Department,NC,           5,           2,           9,           5,           6,           2,           4,           5,           6,           8,           2,           2,           1,           4,           1,           4,           0,           0,           3,           4,           1,           2,           3,,           0,           6,           1,           0, 
Durham Police Dept,NC,          19,          20,          14,          16,          11,          23,          30,          31,          26,          35,          24,          41,          33,          30,          14,          28,          28,          30,          22,          30,          35,          13,,          24,          21,          23,          27,          21, 
Fayetteville Police Dept,NC,          11,          11,          14,          10,          19,          17,          23,          12,          30,          15,          19,          14,           9,          15,          13,          21,          18,          20,          13,          14,          14,          15,          21,          23,          21,          17,          25,          22, 
Greensboro Police Dept,NC,          13,          18,          18,          16,          24,          20,          35,          23,          27,          21,          36,          23,          35,          20,          19,          21,          20,          28,          36,          14,          30,          27,          40,          24,          24,          20,,          21, 
Guilford County Sheriff Office,NC,           5,           7,           3,           0,,           3,           8,           5,           3,           1,           6,           1,           5,           7,           4,           3,           1,           3,           1,           3,           2,           3,           8,           2,           1,           5,           5,           2, 
High Point Police Dept,NC,           6,          10,           4,           7,           8,           6,          11,          10,          12,          14,          11,          12,          12,          13,           4,           9,          11,           5,           8,          10,           8,           8,          13,          11,           3,           2,           3,           5, 
Iredell County Sheriff Department,NC,           3,           3,           4,           3,,           5,           4,           7,           0,           2,           2,           3,           6,           4,           3,           3,           2,           1,           2,           5,           6,,           1,           3,,           3,           1,           0, 
Johnston County Sheriff Department,NC,           4,           5,           4,           7,           9,           2,           8,           6,           3,           4,           8,           3,           5,           4,           4,           5,           4,           4,           3,           4,           4,           9,,           3,           2,           8,           3,           0, 
Onslow County Sheriff Department,NC,           5,           0,           4,           3,           1,           4,           5,           5,           2,,           4,           2,           1,           1,           5,,           3,,,,,           6,           4,           6,           3,           7,           3,           2, 
Raleigh Police Dept,NC,          13,          16,          15,          11,          15,          24,          25,          19,          27,          30,          18,          25,          23,          28,          16,          26,          10,          19,          14,          16,          20,          19,          23,          34,          14,          14,          17,          17, 
Union County Sheriff Office,NC,           1,           1,           1,,           2,           2,           4,           3,           2,           0,           6,           6,           3,           2,           1,,           1,           0,,,           0,           4,,           5,           3,           8,           2,           6, 
Wake County Sheriff Department,NC,          19,           8,          11,           2,,           2,           7,           3,           5,           3,           6,           7,          11,           2,          10,           6,           3,           1,           7,           3,           0,           4,           6,           3,           6,           6,           2,           2, 
Wilmington Police Dept,NC,           6,          11,           7,           5,           4,           5,           6,          12,           7,           2,           7,           4,          12,           9,          11,           8,          10,          10,           5,           8,           8,           7,          10,          12,           4,           5,          10,           8, 
Winston-Salem Police Dept,NC,          16,          17,          22,          18,          31,          24,          23,          33,          36,          41,          23,          28,          13,          18,          17,          20,          15,          15,          11,          21,          16,          20,,          19,          15,          11,          14,           6, 
Fargo Police Dept,ND,           2,           0,           0,           1,           0,           0,,           2,           0,           0,           0,           1,           3,           0,           1,           1,           0,           0,           0,           1,           2,           2,           3,           0,           2,           0,           1,           2, 
Akron City Police Dept,OH,          17,          25,          21,          30,          20,          18,          40,          24,          19,          23,          18,          14,,,           6,           3,          13,          19,          16,          14,          27,          27,          22,          16,          20,          23,          27,          24, 
Cincinnati Police Dept,OH,          45,          46,          69,          47,          45,          49,          54,          49,          39,          38,          50,          32,,,          28,          22,          56,          70,          72,          64,          79,          90,          62,          75,          55,          68,          61,          46, 
Cleveland,OH,         131,         124,         145,         137,         144,         168,         175,         157,         167,         132,         129,         103,          77,          81,          78,          71,          77,          80,          73,          79,         109,          77,          90,          55,          83,          81,          74,          84, 
Columbus Police Dept,OH,          72,          78,          85,          69,          90,          89,         138,         113,         105,         100,          77,          89,          84,          78,          71,          67,          81,          81,         109,          78,         103,          85,          79,         100,          82,          95,          87,, 
Dayton,OH,          30,          51,          35,          44,          53,          47,          54,          57,          49,          57,          39,          38,          34,          21,          27,          32,          32,          42,          30,          32,          32,          39,          28,          35,          40,          34,          33,          24, 
Hamilton County Sheriff Department,OH,           4,           4,           3,           3,           2,           6,           3,           3,           2,           3,           2,           3,           1,           3,           1,           4,          10,           3,           1,           8,           7,           6,           4,           4,           5,           7,           2,           4, 
Stark County Sheriff Office,OH,           1,           0,           1,           1,           2,,           2,,           2,           2,           4,           2,           2,           4,           4,           1,           0,           2,           2,           0,           0,           0,           1,           1,           2,           3,           0,           0, 
Toledo Police Dept,OH,          27,          21,          33,,          41,          37,          36,          43,          45,          40,          35,          30,          25,          22,          15,          12,          18,          28,          21,          22,          28,          35,          13,          18,          33,          23,          30,          39, 
Broken Arrow Police Dept,OK,           0,           0,           4,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           3,           1,           2,           1,           3,           3,           1,           0,           1,           1,           4,           2,           2,           0,           1, 
Norman Police Dept,OK,           1,           2,           3,           6,           0,           2,           5,           1,           2,           7,           2,           3,           4,           0,           0,           0,           2,           1,           4,           2,           0,           5,           4,           2,           0,           2,           2,           1, 
Oklahoma City Police Dept,OK,          61,          60,          48,          60,          61,          68,          56,          61,          80,          65,         227,          67,          59,          56,          56,          38,          45,          38,          49,          39,          54,          55,          58,          57,          65,          54,          58,          85, 
Tulsa Police Dept,OK,          33,          40,          35,          35,          32,          57,          42,          33,          54,          42,          30,          31,          40,          38,          41,          33,          34,          26,          61,          48,          58,          53,          55,          50,          68,          54,          49,          42, 
Clackamas County Sheriff Department,OR,           4,          12,          15,           9,           7,           3,           9,           5,           7,           6,           3,           4,           4,           4,           2,           4,           2,           2,           3,           3,           5,           4,           5,           4,           3,           4,           3,           8, 
Eugene Police Dept,OR,           1,           8,           3,           1,           3,           1,           0,           2,           3,           2,           3,           2,           2,           3,           2,           2,           2,           2,           2,           1,           5,           3,           1,           2,           1,           0,           0,           0, 
Gresham Police Dept,OR,           0,           1,           1,           3,           0,           2,           1,           0,           1,           8,           4,           1,           2,           0,           2,           3,           3,           3,           0,           2,           3,           6,           1,           6,           0,           7,           1,           4, 
Portland Police Dept,OR,          43,          46,          66,          45,          38,          33,          53,          46,          58,          50,          43,          51,          46,          26,          35,          19,          21,          20,          27,          29,          20,          20,          22,          26,          19,          22,          20,          20, 
Salem Police Dept,OR,           7,           8,           2,           4,           1,           6,           2,           7,           7,          10,           9,           7,           1,          11,           2,           5,           4,           6,           5,           3,           3,           9,           3,           6,           5,           1,           3,           7, 
Washington County Sheriff Office,OR,           9,           5,           2,           1,           3,           4,           2,           3,           2,           9,           3,,,           6,           1,           4,           2,           2,           0,           2,           2,           3,           3,           1,           4,           2,           1,           6, 
Allentown City Police Dept,PA,           4,          10,           7,          11,           3,           2,           7,          11,           6,          11,           7,           6,           7,          15,          11,           9,           8,           9,          12,          11,          21,          16,          20,          16,          13,           9,          10,          15, 
Erie Police Dept,PA,           5,           3,           5,           1,           3,           2,           7,           3,           7,           8,           6,           6,           4,           5,           4,           5,           4,           4,           3,           1,           6,           2,           3,           7,           4,          11,           6,           8, 
Philadelphia Police Dept,PA,         273,         343,         338,         374,         475,         503,         440,         425,         439,         404,         432,         420,         418,         338,         292,         319,         309,         288,         348,         330,         377,         407,         392,         331,         302,         306,         324,         331, 
Pittsburgh,PA,          34,          47,          37,          19,          31,          35,          36,          44,          80,          64,          58,          47,          50,          36,          49,          37,          55,          47,          67,          46,          63,          56,          52,          72,          39,          55,          44,          41, 
Providence Police Dept,RI,          14,          18,          20,          21,          28,          31,          17,          19,          22,          20,          25,          16,          12,          15,          26,          30,          23,          23,          18,          17,          20,          11,          11,          12,          24,          15,,          17, 
Aiken County Sheriff Department,SC,          10,           4,           6,           9,           5,          18,          15,          10,          11,          13,           8,           5,          10,          10,           5,           1,           6,           3,           5,           3,           7,           7,           7,           5,          10,           5,          11,           4, 
Anderson County Sheriff Department,SC,           4,           9,           8,          10,           5,           7,           7,          10,          11,          12,           6,           8,           5,           6,          13,          11,           6,          11,           3,          13,          13,          13,           4,          13,           8,           3,          11,          10, 
Beaufort County Sheriff Office,SC,           8,           4,           4,           9,           8,           4,           3,           4,           6,           7,           6,           0,           3,           5,           8,           7,,           9,           3,           3,           5,           6,           7,           6,           5,           4,           3,           9, 
Berkeley County Sheriff Office,SC,           4,           4,           7,           8,           4,           5,           4,           7,           6,           4,           3,           5,           6,           7,           5,           9,,          10,           9,           2,           8,          15,           7,           9,           6,           3,           5,          10, 
Charleston City Police Dept,SC,           7,          10,           7,           9,           6,           7,          16,           7,          12,          15,          12,           9,          10,           7,           2,           8,,          14,          18,           9,          10,          23,          15,          14,           9,          10,          11,          12, 
Columbia Police Dept,SC,          12,          11,          15,           8,          12,          22,          25,          15,          22,          19,          10,          19,          12,          11,          15,          12,,          11,          15,          18,          15,           7,          15,          13,          13,          16,          10,           8, 
Greenville County Sheriff Office,SC,          16,          14,          22,          16,          17,          14,          22,          16,          15,          16,          17,          21,          14,          12,          16,          20,          23,          19,          20,          23,          24,          17,          20,          26,          15,          16,          21,          17, 
Horry County Police Department,SC,,,,,,,,,,,,,,,,,,,,,,,,,          12,           7,          16,, 
Lexington County Sheriff Department,SC,           9,           9,           9,           7,           7,           7,           2,          19,           6,           6,           8,          12,           7,           8,           8,           4,,           8,          11,           6,           8,           9,          10,           4,          11,           6,          10,           7, 
North Charleston Police Dept,SC,           9,           5,          11,          11,           8,          13,          15,          12,           9,          13,          10,          13,          19,           4,          13,           7,,          17,          10,           6,          11,          28,          26,          14,          10,          12,           5,          13, 
Richland County Sheriff Department,SC,          20,          13,          18,          14,          23,          23,          19,          23,          20,          19,          19,          18,          12,          16,          17,          14,           6,          21,           9,          18,          19,          31,          24,          15,          13,          11,          13,          15, 
Spartanburg County Sheriff Office,SC,          11,          15,          10,          15,          11,          10,          17,           3,          20,          12,          18,           8,          11,          15,           9,          10,,          13,          11,          10,          16,          15,          18,          12,          13,           8,           7,           8, 
York County Sheriff Department,SC,           2,           4,           3,           6,           6,           9,           6,           5,           9,           3,           3,           2,           3,           9,           3,           4,,           5,           4,           0,           3,           3,           2,           4,           2,           2,           2,           1, 
Sioux Falls Police Dept,SD,           1,           3,           1,           4,           2,           4,           2,           0,           2,           3,           5,           1,           1,           0,           5,           2,           2,           1,           3,           3,           6,           7,           2,           5,           1,           5,           5,           2, 
Chattanooga Police Dept,TN,          26,          25,          26,          22,          14,          32,          49,          31,          38,          43,          28,          21,          36,          22,          22,          17,          29,          24,          19,          12,          22,          17,          14,          19,          17,          18,          24,          22, 
Clarksville Police Dept,TN,           4,           6,           3,           4,           4,           5,          11,           7,           1,           8,          11,           8,           7,          10,           7,           3,           6,           8,           2,           5,           6,           6,           9,           6,          16,           9,           8,          10, 
Hamilton County Sheriff Office,TN,           1,           7,           0,           4,           1,           6,,           2,           3,,,,,,,           0,           4,           5,           5,           3,           2,           5,           2,           2,           2,           1,           4,           2, 
Knox County Sheriff Office,TN,           8,          10,          13,           4,           8,          13,           9,          12,           5,           6,           7,           9,           9,          10,           4,           5,           4,           5,           6,           4,           5,          10,           5,           6,           4,           8,           8,           7, 
Knoxville Police Dept,TN,          16,          29,          20,          21,          26,          25,          35,          35,          14,          24,          19,          23,          19,          34,          20,          23,          15,          22,          18,          22,          24,          18,          27,          29,          22,          15,          17,          18, 
Memphis Police Dept,TN,         122,         161,         143,         174,         141,         195,         169,         176,         198,         159,         181,         161,         138,         115,         118,         147,         158,         149,         126,         107,         138,         149,         131,         138,         132,          89,         117,         133, 
Murfreesboro Police Dept,TN,           1,           3,           2,           0,           3,           4,           2,           3,           3,,,,,           1,           1,           1,           0,           0,           2,           2,           2,           6,           4,           6,           5,           5,           3,           3, 
Nashville-Davidson Metro Police Dept,TN,          81,          93,          99,          79,          69,          67,          88,          90,          87,          73,         105,          89,         112,          97,          68,          72,          60,          63,          72,          59,          95,          80,          73,          76,          79,          55,          50,          62, 
Shelby County Sheriff Office,TN,          10,           6,           7,           4,,           4,,,           7,          10,          12,,,,,           3,           4,          11,           5,           3,           5,           3,           6,           4,           6,           6,           4,           1, 
Abilene Police Dept,TX,           8,          12,           5,           4,           7,           7,          15,           4,           8,           6,           5,           7,           2,           5,          12,           1,           2,           4,           6,           6,           5,           5,           9,           7,           7,           4,           5,           3, 
Amarillo Police Dept,TX,          17,          21,          18,          16,          15,          22,          15,          17,          11,          25,          16,          11,          14,          12,          10,          11,          19,           7,          17,          11,          10,           5,          19,          13,          10,          10,          10,          10, 
Arlington Police Dept,TX,          18,          22,          18,          13,          11,           8,          26,          16,           7,          18,           9,          17,          12,          13,          11,          14,          15,          14,           9,          14,          24,          14,          13,          23,          12,          16,          22,          17, 
Austin Police Dept,TX,          52,          48,          39,          43,          31,          46,          49,          37,          37,          37,          46,          40,          40,          32,          21,          32,          26,          25,          27,          26,          26,          20,          30,          23,          22,          38,          28,          31, 
Beaumont Police Dept,TX,          11,          14,          18,          11,          22,          19,          15,          23,          23,          25,          14,          15,          11,           9,          12,          12,          10,           7,           6,           8,          11,          10,          15,           7,           5,          10,          13,          13, 
Bexar County Sheriff Office,TX,          16,          23,          14,          15,           8,          13,          14,          17,          21,          12,           8,           7,          16,          11,           8,          12,           4,          10,          12,           8,           7,          11,           8,          19,          16,          11,          12,          10, 
Brazoria County Sheriff Department,TX,          25,          11,           9,           1,           6,           5,           5,           4,           1,           5,           3,           7,           0,           0,           3,           3,           2,           4,           4,           2,           5,           0,           3,           0,           3,           0,           1,           3, 
Brownsville Police Dept,TX,           9,           6,           8,           9,          14,          13,          18,          15,          17,          12,           7,          11,           8,          14,           4,           6,           7,           1,           8,           1,           4,           5,           5,           4,           4,           7,           1,           3, 
Cameron County Sheriff Department,TX,           4,           7,           1,          18,          14,          16,          14,           9,           7,           4,,           7,           4,           7,           4,           7,           1,           4,           1,           2,           9,           2,           2,           4,           2,           1,           3,           4, 
Carrollton Police Dept,TX,           1,           4,           3,           4,           2,           1,           5,           1,           4,           6,           2,           1,           3,           2,           0,           0,           2,           1,           2,           2,           5,           5,           5,           4,           4,           4,           3,           2, 
City Of Fort Worth Police Dept,TX,         128,         200,         135,          97,         113,         130,         195,         153,         133,         132,         108,          68,          74,          64,          67,          61,          67,          53,          57,          52,          60,          50,          58,          49,          44,          63,          48,          45, 
City Of Waco Police Dept,TX,           8,          16,          25,          14,          29,          22,          23,          21,          29,          25,          16,          14,          15,          11,          12,          13,           7,          14,          14,          17,          12,           9,           6,          11,           9,           5,          11,           6, 
Corpus Christi Police Dept,TX,          29,          35,          20,          26,          19,          29,          32,          30,          34,          13,          31,          18,          18,          17,          15,          17,          19,          19,          21,          25,           8,          21,          17,          19,          12,          16,          12,          16, 
Dallas Police Dept,TX,         301,         347,         323,         366,         351,         447,         500,         387,         317,         295,         276,         217,         209,         252,         191,         231,         240,         196,         226,         248,         202,         187,         200,         170,         166,         148,         133,         154, 
Denton Police Dept,TX,           1,           6,           0,           4,           3,           1,           6,           3,           5,           1,           1,           3,           0,           1,           2,           2,           2,           2,           3,           6,           5,           0,           2,           0,           2,           3,           2,           1, 
El Paso County Sheriff Department,TX,           8,           6,           4,           4,           4,          11,          10,           3,           8,          10,           5,           7,           8,           3,           4,           5,           4,           3,           0,           6,           4,           8,           3,           2,           4,           2,           2,           5, 
El Paso Police Dept,TX,          22,          46,          25,          31,          41,          34,          49,          44,          47,          44,          37,          30,          24,          17,          14,          20,          20,          14,          21,          11,          14,          13,          17,          17,          12,           5,          16,          23, 
Fort Bend County Sheriff Department,TX,           9,           3,           2,           6,           3,           4,           7,           3,           2,           8,           2,           9,           1,           1,           5,           9,           7,           1,          12,           9,           8,          14,          10,           6,           8,           8,           8,           1, 
Frisco Police Dept,TX,,,,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,,           0,           1,           0,           1,           0,           1,           1,           1,           2,           0,           3,           0, 
Garland Police Dept,TX,           5,          15,           5,           8,           9,          11,          13,          15,          12,          10,           7,          14,           4,           1,           1,           4,           9,          11,           7,           6,           7,           3,           7,          10,           7,           7,           5,           7, 
Grand Prairie Police Dept,TX,          11,           8,           6,           7,          10,           5,           7,           9,           9,          14,          12,           3,           9,           9,           8,           8,           6,           3,           4,           9,           9,           3,           6,           7,           7,           4,           9,           1, 
Harris County Sheriff Office,TX,          66,          70,          80,          68,          60,          74,         102,          76,          71,          66,          69,          56,          60,          48,          41,          50,          42,          68,          47,          56,          66,          67,          65,          74,          96,          77,,          77, 
Hidalgo County Sheriff Department,TX,          11,          17,          10,          10,          12,          17,          17,          16,          23,          22,          16,          19,          16,          26,          14,          11,          26,          26,          25,          19,          16,          15,          14,          24,          23,          14,          20,          22, 
Houston Police Dept,TX,         457,         408,         323,         440,         459,         568,         608,         465,         446,         375,         316,         261,         254,         254,         241,         230,         267,         256,         278,         272,         334,         377,         351,         294,         287,         269,         198,         217, 
Irving Police Dept,TX,          12,          18,          14,           6,          11,          13,          18,          14,           8,          14,           5,           8,           6,           9,           5,          10,          10,           5,           7,          10,           2,           3,           9,           7,           4,           6,           8,           3, 
Killeen Police Dept,TX,          12,           3,           5,           8,           5,          11,          30,          11,           6,          13,           3,           2,           4,          10,           2,           9,           8,           3,           6,           5,           8,           8,          12,          10,           5,          11,          15,          12, 
Laredo,TX,          15,          20,          11,          15,          11,          14,          15,          21,          21,          24,          14,          11,          11,          11,           8,          10,           8,           7,          29,          15,          18,          22,          10,          10,          17,           9,          11,           8, 
Lewisville Police Dept,TX,           2,           0,           2,           0,           5,           4,           4,           1,           1,           1,           5,           0,           1,           2,,           1,           0,           4,           3,           4,           2,           2,           1,           1,           3,           3,           3,           2, 
Lubbock Police Dept,TX,          20,          28,          24,          24,          15,          16,          18,          14,          17,          20,          19,          15,           6,          15,          14,          12,          10,          11,          14,          16,          11,          13,          15,           8,          13,          10,           8,          11, 
Mcallen Police Dept,TX,           6,           8,           3,           3,           2,           3,           3,           4,           8,           7,           5,           5,           4,           7,           5,           2,           3,           4,           6,           4,           8,           4,           6,           9,           4,           5,           4,           1, 
Mckinney Police Dept,TX,           3,           1,           3,           2,           1,           0,           3,           0,           1,           2,           2,           1,           0,           0,           1,           1,           1,           2,           1,           4,           1,           2,           1,           3,           0,           1,           1,           0, 
Mesquite Police Dept,TX,           3,           4,           8,           5,           3,           4,           4,           3,           5,           4,           1,           3,           4,           1,           3,           2,           4,           9,           1,           5,           7,           5,           6,           3,           5,           7,           2,           2, 
Midland Police Dept,TX,           7,           1,          10,           5,           7,           7,           8,           3,           6,           7,           8,           4,           5,           2,           1,           5,           2,           2,           2,,           1,           5,           4,           4,           3,           2,           4,           4, 
Montgomery County Sheriff Department,TX,          13,          13,           6,          15,          13,          15,          12,          12,           5,          15,          15,           6,           2,           7,          11,           8,          13,          11,           5,           6,           7,          10,           9,           8,           6,           7,           7,          10, 
